0 D 0 62
1 D 1 54
2 D 2 46
3 D 3 38
4 D 4 30
5 D 5 22
6 D 6 14
7 D 7 6
8 D 8 60
9 D 9 52
10 D 10 44
11 D 11 36
12 D 12 28
13 D 13 20
14 D 14 12
15 D 15 4
16 C 0 63
17 C 1 55
18 C 2 47
19 C 3 39
20 C 4 31
21 C 5 23
22 C 6 15
23 C 7 7
24 C 8 64
25 C 9 56
26 C 10 48
27 C 11 40
28 C 12 32
29 C 13 24
30 C 14 16
31 C 15 8
32 B 0 3
33 B 1 9
34 B 2 19
35 B 3 27
36 B 4 35
37 B 5 43
38 B 6 51
39 B 7 59
40 B 8 5
41 B 9 13
42 B 10 21
43 B 11 29
44 B 12 37
45 B 13 45
46 B 14 53
47 B 15 61
48 A 0 2
49 A 1 10
50 A 2 18
51 A 3 26
52 A 4 34
53 A 5 42
54 A 6 50
55 A 7 58
56 A 8 1
57 A 9 11
58 A 10 17
59 A 11 25
60 A 12 33
61 A 13 41
62 A 14 49
63 A 15 57
